,piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
1144,B05,ILMALANKATU,25495293,6677123,2.0,8,2011,14,5,4,0,3,1,0,903
1148,B05,ILMALANKATU,25495293,6677123,2.0,9,2011,26,5,4,0,5,1,0,1101
1152,B05,ILMALANKATU,25495293,6677123,2.0,10,2011,111,35,9,0,16,0,0,913
1153,B05,ILMALANKATU,25495293,6677123,2.0,11,2011,105,32,11,0,12,1,0,900
1154,B05,ILMALANKATU,25495293,6677123,2.0,12,2011,110,34,10,1,11,2,0,963
1155,B05,ILMALANKATU,25495293,6677123,2.0,13,2011,117,32,11,0,11,0,0,1002
1156,B05,ILMALANKATU,25495293,6677123,2.0,14,2011,123,28,11,1,10,4,0,1177
1157,B05,ILMALANKATU,25495293,6677123,2.0,15,2011,196,34,9,0,11,2,0,1448
1158,B05,ILMALANKATU,25495293,6677123,2.0,16,2011,96,4,1,0,3,5,0,2707
1162,B05,ILMALANKATU,25495293,6677123,2.0,17,2011,105,13,1,0,3,1,0,2360
1166,B05,ILMALANKATU,25495293,6677123,2.0,18,2011,60,1,2,0,5,1,0,1484
1170,B05,ILMALANKATU,25495293,6677123,2.0,19,2011,118,11,2,0,11,1,0,873
1171,B05,ILMALANKATU,25495293,6677123,2.0,20,2011,69,5,1,0,5,0,0,626
1172,B05,ILMALANKATU,25495293,6677123,2.0,21,2011,40,1,1,0,4,0,0,380
1173,B05,ILMALANKATU,25495293,6677123,2.0,22,2011,30,1,1,0,3,0,0,320
1174,B05,ILMALANKATU,25495293,6677123,2.0,23,2011,27,2,0,0,1,0,0,252
1175,B05,ILMALANKATU,25495293,6677123,2.0,24,2011,23,1,0,0,1,0,0,128
1176,B06,VETURITIE,25495967,6676903,1.0,1,2011,33,6,2,0,1,0,0,211
1177,B06,VETURITIE,25495967,6676903,1.0,2,2011,17,3,2,0,1,0,0,190
1178,B06,VETURITIE,25495967,6676903,1.0,3,2011,16,3,3,0,0,0,0,114
1179,B06,VETURITIE,25495967,6676903,1.0,4,2011,18,2,3,0,3,0,0,163
1180,B06,VETURITIE,25495967,6676903,1.0,5,2011,28,4,4,0,1,0,0,223
1181,B06,VETURITIE,25495967,6676903,1.0,6,2011,110,15,18,1,9,0,0,883
1182,B06,VETURITIE,25495967,6676903,1.0,7,2011,52,8,4,0,1,0,0,4172
1186,B06,VETURITIE,25495967,6676903,1.0,8,2011,231,45,7,1,0,2,0,7186
1190,B06,VETURITIE,25495967,6676903,1.0,9,2011,319,29,5,0,0,4,0,7863
1194,B06,VETURITIE,25495967,6676903,1.0,10,2011,804,109,37,2,6,11,0,5122
1195,B06,VETURITIE,25495967,6676903,1.0,11,2011,481,96,35,2,4,6,0,3386
1196,B06,VETURITIE,25495967,6676903,1.0,12,2011,487,79,22,2,5,10,0,3357
1197,B06,VETURITIE,25495967,6676903,1.0,13,2011,505,111,31,0,9,3,0,3641
1198,B06,VETURITIE,25495967,6676903,1.0,14,2011,458,108,14,0,9,5,0,3261
1199,B06,VETURITIE,25495967,6676903,1.0,15,2011,447,119,18,0,10,6,0,3309
1200,B06,VETURITIE,25495967,6676903,1.0,16,2011,124,20,5,0,1,2,0,3719
1204,B06,VETURITIE,25495967,6676903,1.0,17,2011,143,18,1,0,2,0,0,4447
1208,B06,VETURITIE,25495967,6676903,1.0,18,2011,157,11,0,0,0,2,0,3948
1212,B06,VETURITIE,25495967,6676903,1.0,19,2011,418,42,6,0,3,10,0,2843
1213,B06,VETURITIE,25495967,6676903,1.0,20,2011,336,26,8,2,7,5,0,2094
1214,B06,VETURITIE,25495967,6676903,1.0,21,2011,260,26,4,0,5,5,0,1878
1215,B06,VETURITIE,25495967,6676903,1.0,22,2011,180,9,2,0,4,0,0,1218
1216,B06,VETURITIE,25495967,6676903,1.0,23,2011,112,4,1,0,2,0,0,716
1217,B06,VETURITIE,25495967,6676903,1.0,24,2011,83,5,2,0,2,0,0,503
1218,B06,VETURITIE,25495967,6676903,2.0,1,2011,63,7,1,0,4,0,0,363
1219,B06,VETURITIE,25495967,6676903,2.0,2,2011,27,2,1,0,1,0,0,210
1220,B06,VETURITIE,25495967,6676903,2.0,3,2011,21,3,1,0,0,0,0,190
1221,B06,VETURITIE,25495967,6676903,2.0,4,2011,16,3,3,0,0,0,0,139
1222,B06,VETURITIE,25495967,6676903,2.0,5,2011,39,0,4,0,0,0,0,240
1223,B06,VETURITIE,25495967,6676903,2.0,6,2011,50,7,9,0,3,0,0,510
1224,B06,VETURITIE,25495967,6676903,2.0,7,2011,35,4,2,0,1,0,0,1458
1228,B06,VETURITIE,25495967,6676903,2.0,8,2011,74,13,6,0,0,1,0,2673
1232,B06,VETURITIE,25495967,6676903,2.0,9,2011,121,14,4,0,3,0,0,3144
1236,B06,VETURITIE,25495967,6676903,2.0,10,2011,364,71,23,1,12,4,0,2774
1237,B06,VETURITIE,25495967,6676903,2.0,11,2011,374,73,26,1,4,3,0,2833
1238,B06,VETURITIE,25495967,6676903,2.0,12,2011,393,86,25,3,6,6,0,3253
1239,B06,VETURITIE,25495967,6676903,2.0,13,2011,441,95,30,0,3,10,0,3355
1240,B06,VETURITIE,25495967,6676903,2.0,14,2011,452,98,17,0,4,1,0,3547
1241,B06,VETURITIE,25495967,6676903,2.0,15,2011,673,132,18,0,2,11,0,4895
1242,B06,VETURITIE,25495967,6676903,2.0,16,2011,247,50,8,0,0,0,0,7542
1246,B06,VETURITIE,25495967,6676903,2.0,17,2011,314,37,2,0,1,7,0,6703
1250,B06,VETURITIE,25495967,6676903,2.0,18,2011,223,21,3,0,2,6,0,4751
1254,B06,VETURITIE,25495967,6676903,2.0,19,2011,558,42,4,1,3,9,0,3365
1255,B06,VETURITIE,25495967,6676903,2.0,20,2011,426,24,8,0,6,0,0,2823
1256,B06,VETURITIE,25495967,6676903,2.0,21,2011,399,19,5,0,9,0,0,2927
1257,B06,VETURITIE,25495967,6676903,2.0,22,2011,291,12,5,0,7,0,0,2148
1258,B06,VETURITIE,25495967,6676903,2.0,23,2011,170,13,2,0,3,0,0,1063
1259,B06,VETURITIE,25495967,6676903,2.0,24,2011,160,8,5,2,5,0,0,779
1260,B07,RATAPIHANTIE,25496284,6676911,1.0,1,2011,36,2,1,0,1,0,0,267
1261,B07,RATAPIHANTIE,25496284,6676911,1.0,2,2011,21,1,0,0,1,0,0,144
1262,B07,RATAPIHANTIE,25496284,6676911,1.0,3,2011,20,1,0,0,0,0,0,131
1263,B07,RATAPIHANTIE,25496284,6676911,1.0,4,2011,12,1,0,0,0,0,0,96
1264,B07,RATAPIHANTIE,25496284,6676911,1.0,5,2011,13,1,0,0,0,0,0,168
1265,B07,RATAPIHANTIE,25496284,6676911,1.0,6,2011,77,5,2,1,2,0,0,815
1266,B07,RATAPIHANTIE,25496284,6676911,1.0,7,2011,74,2,1,1,1,0,0,3424
1270,B07,RATAPIHANTIE,25496284,6676911,1.0,8,2011,245,42,5,2,3,4,0,9039
1274,B07,RATAPIHANTIE,25496284,6676911,1.0,9,2011,355,30,6,0,4,2,0,9028
1278,B07,RATAPIHANTIE,25496284,6676911,1.0,10,2011,814,106,26,5,9,11,0,5974
1279,B07,RATAPIHANTIE,25496284,6676911,1.0,11,2011,450,117,22,5,7,6,0,3831
1280,B07,RATAPIHANTIE,25496284,6676911,1.0,12,2011,460,88,19,3,8,2,0,4022
1281,B07,RATAPIHANTIE,25496284,6676911,1.0,13,2011,441,117,35,4,6,8,0,4002
1282,B07,RATAPIHANTIE,25496284,6676911,1.0,14,2011,418,81,22,4,13,5,0,3670
1283,B07,RATAPIHANTIE,25496284,6676911,1.0,15,2011,478,78,15,2,14,4,0,3719
1284,B07,RATAPIHANTIE,25496284,6676911,1.0,16,2011,132,16,2,2,2,0,0,4894
1288,B07,RATAPIHANTIE,25496284,6676911,1.0,17,2011,164,17,1,1,2,0,0,5430
1292,B07,RATAPIHANTIE,25496284,6676911,1.0,18,2011,168,9,2,0,2,0,0,4800
1296,B07,RATAPIHANTIE,25496284,6676911,1.0,19,2011,546,7,1,0,3,4,0,3800
1297,B07,RATAPIHANTIE,25496284,6676911,1.0,20,2011,254,5,1,0,2,0,0,1905
1298,B07,RATAPIHANTIE,25496284,6676911,1.0,21,2011,166,5,3,2,2,0,0,1429
1299,B07,RATAPIHANTIE,25496284,6676911,1.0,22,2011,131,6,3,1,2,0,0,1072
1300,B07,RATAPIHANTIE,25496284,6676911,1.0,23,2011,81,5,2,1,2,0,0,739
1301,B07,RATAPIHANTIE,25496284,6676911,1.0,24,2011,55,3,1,1,1,0,0,401
1302,B07,RATAPIHANTIE,25496284,6676911,2.0,1,2011,45,4,1,0,1,0,0,333
1303,B07,RATAPIHANTIE,25496284,6676911,2.0,2,2011,29,2,1,0,1,0,0,241
1304,B07,RATAPIHANTIE,25496284,6676911,2.0,3,2011,21,2,0,0,1,0,0,161
1305,B07,RATAPIHANTIE,25496284,6676911,2.0,4,2011,19,1,0,0,0,0,0,125
1306,B07,RATAPIHANTIE,25496284,6676911,2.0,5,2011,11,1,0,0,0,0,0,160
1307,B07,RATAPIHANTIE,25496284,6676911,2.0,6,2011,53,4,1,1,1,0,0,482
1308,B07,RATAPIHANTIE,25496284,6676911,2.0,7,2011,34,4,1,1,1,0,0,1656
1312,B07,RATAPIHANTIE,25496284,6676911,2.0,8,2011,109,18,9,2,1,0,0,4203
1316,B07,RATAPIHANTIE,25496284,6676911,2.0,9,2011,138,17,6,0,2,3,0,4563
1320,B07,RATAPIHANTIE,25496284,6676911,2.0,10,2011,475,89,28,6,18,4,0,3889
1321,B07,RATAPIHANTIE,25496284,6676911,2.0,11,2011,433,87,29,5,10,5,0,3819
1322,B07,RATAPIHANTIE,25496284,6676911,2.0,12,2011,460,108,25,8,7,3,0,4033
1323,B07,RATAPIHANTIE,25496284,6676911,2.0,13,2011,547,99,34,5,7,1,0,4409
1324,B07,RATAPIHANTIE,25496284,6676911,2.0,14,2011,611,110,35,4,8,5,0,4686
1325,B07,RATAPIHANTIE,25496284,6676911,2.0,15,2011,766,162,30,6,9,5,0,5898
1326,B07,RATAPIHANTIE,25496284,6676911,2.0,16,2011,317,40,7,2,3,3,0,8896
1330,B07,RATAPIHANTIE,25496284,6676911,2.0,17,2011,376,37,6,1,1,7,0,8943
1334,B07,RATAPIHANTIE,25496284,6676911,2.0,18,2011,270,15,3,0,4,1,0,7294
1338,B07,RATAPIHANTIE,25496284,6676911,2.0,19,2011,696,58,4,0,14,4,0,5038
1339,B07,RATAPIHANTIE,25496284,6676911,2.0,20,2011,315,29,3,2,5,0,0,2629
1340,B07,RATAPIHANTIE,25496284,6676911,2.0,21,2011,334,25,4,3,8,0,0,2556
1341,B07,RATAPIHANTIE,25496284,6676911,2.0,22,2011,216,17,5,2,5,0,0,1682
1342,B07,RATAPIHANTIE,25496284,6676911,2.0,23,2011,130,10,3,1,3,0,0,1070
1343,B07,RATAPIHANTIE,25496284,6676911,2.0,24,2011,64,5,2,1,2,0,0,494
1344,B08,MÄKELÄNKATU,25496993,6676320,1.0,1,2011,166,13,3,0,11,0,1,1151
1345,B08,MÄKELÄNKATU,25496993,6676320,1.0,2,2011,86,7,2,0,5,0,1,582
1346,B08,MÄKELÄNKATU,25496993,6676320,1.0,3,2011,36,3,1,0,2,0,0,362
1347,B08,MÄKELÄNKATU,25496993,6676320,1.0,4,2011,59,5,1,0,4,0,0,338
1348,B08,MÄKELÄNKATU,25496993,6676320,1.0,5,2011,71,5,1,0,5,0,0,624
1349,B08,MÄKELÄNKATU,25496993,6676320,1.0,6,2011,243,18,4,0,15,0,1,1895
1350,B08,MÄKELÄNKATU,25496993,6676320,1.0,7,2011,103,10,4,0,15,1,1,7470
1354,B08,MÄKELÄNKATU,25496993,6676320,1.0,8,2011,427,52,14,4,29,7,1,11889
1358,B08,MÄKELÄNKATU,25496993,6676320,1.0,9,2011,474,53,23,0,23,18,2,12807
1362,B08,MÄKELÄNKATU,25496993,6676320,1.0,10,2011,1236,232,59,10,81,26,7,9919
1363,B08,MÄKELÄNKATU,25496993,6676320,1.0,11,2011,972,208,50,10,57,18,4,6778
1364,B08,MÄKELÄNKATU,25496993,6676320,1.0,12,2011,961,186,73,8,51,16,3,7070
1365,B08,MÄKELÄNKATU,25496993,6676320,1.0,13,2011,1032,210,50,6,53,13,3,7114
1366,B08,MÄKELÄNKATU,25496993,6676320,1.0,14,2011,915,189,47,8,52,17,3,6741
1367,B08,MÄKELÄNKATU,25496993,6676320,1.0,15,2011,951,150,33,8,74,15,4,6721
1368,B08,MÄKELÄNKATU,25496993,6676320,1.0,16,2011,245,30,6,0,16,6,2,7961
1372,B08,MÄKELÄNKATU,25496993,6676320,1.0,17,2011,284,19,4,1,24,9,2,8690
1376,B08,MÄKELÄNKATU,25496993,6676320,1.0,18,2011,312,15,2,0,18,9,2,7931
1380,B08,MÄKELÄNKATU,25496993,6676320,1.0,19,2011,1152,54,14,2,50,27,6,7038
1381,B08,MÄKELÄNKATU,25496993,6676320,1.0,20,2011,852,71,11,4,41,10,4,5482
1382,B08,MÄKELÄNKATU,25496993,6676320,1.0,21,2011,770,60,14,2,36,0,4,4895
1383,B08,MÄKELÄNKATU,25496993,6676320,1.0,22,2011,540,42,10,1,35,0,4,3262
1384,B08,MÄKELÄNKATU,25496993,6676320,1.0,23,2011,443,35,8,1,29,0,4,2353
1385,B08,MÄKELÄNKATU,25496993,6676320,1.0,24,2011,327,26,6,0,21,0,0,2010
1386,B08,MÄKELÄNKATU,25496993,6676320,2.0,1,2011,145,10,3,0,10,0,2,941
1387,B08,MÄKELÄNKATU,25496993,6676320,2.0,2,2011,89,6,2,0,6,0,1,582
1388,B08,MÄKELÄNKATU,25496993,6676320,2.0,3,2011,61,4,1,0,4,0,0,330
1389,B08,MÄKELÄNKATU,25496993,6676320,2.0,4,2011,59,4,1,0,4,0,0,347
1390,B08,MÄKELÄNKATU,25496993,6676320,2.0,5,2011,68,5,1,0,5,0,0,621
1391,B08,MÄKELÄNKATU,25496993,6676320,2.0,6,2011,164,11,3,0,10,0,2,1459
1392,B08,MÄKELÄNKATU,25496993,6676320,2.0,7,2011,54,7,3,0,7,0,2,3617
1396,B08,MÄKELÄNKATU,25496993,6676320,2.0,8,2011,115,17,4,0,13,2,2,5510
1400,B08,MÄKELÄNKATU,25496993,6676320,2.0,9,2011,210,21,5,1,19,1,1,6449
1404,B08,MÄKELÄNKATU,25496993,6676320,2.0,10,2011,673,137,48,4,74,5,4,5567
1405,B08,MÄKELÄNKATU,25496993,6676320,2.0,11,2011,695,154,48,32,49,9,3,5957
1406,B08,MÄKELÄNKATU,25496993,6676320,2.0,12,2011,772,194,61,9,54,9,3,6636
1407,B08,MÄKELÄNKATU,25496993,6676320,2.0,13,2011,801,163,45,8,41,15,2,6649
1408,B08,MÄKELÄNKATU,25496993,6676320,2.0,14,2011,984,197,54,4,51,19,3,7400
1409,B08,MÄKELÄNKATU,25496993,6676320,2.0,15,2011,1394,217,47,6,65,29,5,9732
1410,B08,MÄKELÄNKATU,25496993,6676320,2.0,16,2011,472,72,6,0,19,5,2,12664
1414,B08,MÄKELÄNKATU,25496993,6676320,2.0,17,2011,472,53,7,0,21,13,2,12377
1418,B08,MÄKELÄNKATU,25496993,6676320,2.0,18,2011,448,30,5,1,26,15,2,10064
1422,B08,MÄKELÄNKATU,25496993,6676320,2.0,19,2011,1316,101,18,1,70,18,7,7708
1423,B08,MÄKELÄNKATU,25496993,6676320,2.0,20,2011,950,71,10,1,55,5,4,5933
1424,B08,MÄKELÄNKATU,25496993,6676320,2.0,21,2011,930,64,10,2,51,9,4,5472
1425,B08,MÄKELÄNKATU,25496993,6676320,2.0,22,2011,640,45,9,1,47,0,4,3824
1426,B08,MÄKELÄNKATU,25496993,6676320,2.0,23,2011,468,33,8,1,34,0,4,2615
1427,B08,MÄKELÄNKATU,25496993,6676320,2.0,24,2011,311,21,6,1,22,0,2,1792
1428,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,1,2011,66,6,1,0,7,0,0,471
1429,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,2,2011,37,3,1,0,4,0,0,251
1430,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,3,2011,34,3,0,0,4,0,0,213
1431,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,4,2011,31,3,1,0,4,0,0,254
1432,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,5,2011,39,3,1,0,5,0,0,352
1433,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,6,2011,246,9,4,0,28,0,1,1778
1434,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,7,2011,102,9,5,0,30,0,1,6258
1438,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,8,2011,242,61,12,0,31,3,5,8924
1442,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,9,2011,307,40,8,0,23,4,5,8673
1446,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,10,2011,849,149,37,0,71,10,13,5913
1447,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,11,2011,598,117,45,0,62,6,15,4556
1448,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,12,2011,568,131,44,1,51,6,11,4378
1449,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,13,2011,532,111,51,0,51,8,12,4367
1450,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,14,2011,564,116,28,1,62,3,10,4392
1451,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,15,2011,528,111,34,0,104,4,20,4563
1452,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,16,2011,149,39,2,0,25,0,7,5008
1456,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,17,2011,183,14,7,0,31,2,1,5555
1460,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,18,2011,123,5,0,0,18,3,5,4923
1464,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,19,2011,582,50,7,0,64,7,13,4384
1465,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,20,2011,449,30,9,0,68,4,7,3264
1466,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,21,2011,372,28,8,1,58,0,4,2873
1467,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,22,2011,283,19,4,1,33,0,2,2041
1468,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,23,2011,162,14,3,0,19,0,2,1115
1469,B09,HÄMEENTIEN SILTA,25497952,6676519,1.0,24,2011,118,10,2,0,14,0,0,807
1470,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,1,2011,96,9,1,0,12,0,0,728
1471,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,2,2011,75,7,1,0,8,0,0,470
1472,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,3,2011,55,5,1,0,6,0,0,336
1473,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,4,2011,61,6,1,0,7,0,0,333
1474,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,5,2011,36,4,1,0,4,0,0,297
1475,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,6,2011,96,10,1,0,11,0,2,658
1476,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,7,2011,41,7,1,0,6,0,3,1990
1480,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,8,2011,78,10,1,0,23,0,4,3404
1484,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,9,2011,130,18,5,0,25,2,4,3788
1488,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,10,2011,442,77,36,1,76,8,24,3759
1489,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,11,2011,467,120,36,2,54,5,17,3895
1490,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,12,2011,522,106,29,1,43,4,15,4114
1491,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,13,2011,551,153,36,0,49,6,12,4513
1492,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,14,2011,568,164,34,0,51,9,11,4930
1493,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,15,2011,764,197,28,1,67,17,14,6407
1494,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,16,2011,246,56,9,0,22,3,4,8449
1498,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,17,2011,245,47,5,0,18,3,3,8346
1502,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,18,2011,256,38,2,0,15,5,4,6338
1506,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,19,2011,712,59,16,0,49,7,30,5079
1507,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,20,2011,500,84,4,2,42,7,15,4359
1508,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,21,2011,471,46,9,1,39,9,7,3601
1509,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,22,2011,501,48,9,0,52,0,3,3267
1510,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,23,2011,291,27,5,0,26,0,2,2188
1511,B09,HÄMEENTIEN SILTA,25497952,6676519,2.0,24,2011,176,16,3,0,21,0,1,1136
1512,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,1,2011,24,4,2,0,0,0,0,110
1513,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,2,2011,14,1,0,0,0,0,0,180
1514,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,3,2011,13,1,0,0,0,0,0,79
1515,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,4,2011,20,3,1,0,1,0,0,215
1516,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,5,2011,43,5,2,0,1,0,0,606
1517,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,6,2011,157,18,7,0,5,0,0,962
1518,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,7,2011,82,34,12,2,3,0,0,3242
1522,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,8,2011,228,56,2,2,3,2,0,6212
1526,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,9,2011,248,29,9,2,2,4,0,7028
1530,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,10,2011,815,176,67,10,22,7,0,5134
1531,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,11,2011,446,104,50,10,11,5,0,3568
1532,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,12,2011,359,105,45,11,10,4,0,3110
1533,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,13,2011,407,129,56,19,10,8,0,3164
1534,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,14,2011,359,97,55,14,14,6,0,2882
1535,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,15,2011,341,93,33,20,14,6,0,2885
1536,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,16,2011,99,13,13,5,4,1,0,3107
1540,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,17,2011,99,15,2,2,3,0,0,3329
1544,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,18,2011,87,11,1,3,3,1,0,2920
1548,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,19,2011,320,32,9,8,9,6,0,2394
1549,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,20,2011,279,23,3,4,5,4,0,1814
1550,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,21,2011,209,24,9,3,5,4,0,1245
1551,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,22,2011,113,13,5,1,4,0,0,656
1552,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,23,2011,65,8,3,1,2,2,0,499
1553,B10,HERMANNIN RANTATIE,25498292,6676173,1.0,24,2011,40,5,2,0,1,0,0,603
1554,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,1,2011,27,3,1,1,1,0,0,238
1555,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,2,2011,12,1,0,0,0,0,0,223
1556,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,3,2011,7,1,0,0,0,0,0,73
1557,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,4,2011,9,1,1,0,1,0,0,122
1558,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,5,2011,21,2,1,0,1,0,0,140
1559,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,6,2011,33,3,1,1,1,0,0,219
1560,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,7,2011,12,4,3,0,4,0,0,714
1564,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,8,2011,50,10,4,1,3,0,0,2194
1568,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,9,2011,89,14,14,0,2,1,0,2452
1572,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,10,2011,287,56,54,16,16,8,0,2358
1573,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,11,2011,363,89,74,26,10,0,0,3085
1574,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,12,2011,407,83,59,26,12,3,0,3400
1575,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,13,2011,375,93,50,18,10,2,0,3194
1576,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,14,2011,398,132,38,5,12,3,0,3129
1577,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,15,2011,548,130,55,10,13,15,0,4046
1578,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,16,2011,213,52,18,3,2,1,0,5781
1582,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,17,2011,201,22,3,2,4,3,0,4979
1586,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,18,2011,222,16,3,3,2,2,0,4417
1590,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,19,2011,478,41,8,3,11,6,0,3250
1591,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,20,2011,296,36,8,5,12,0,0,2107
1592,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,21,2011,272,31,11,6,11,0,0,1721
1593,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,22,2011,232,27,9,4,9,0,0,1346
1594,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,23,2011,66,7,3,1,2,0,0,744
1595,B10,HERMANNIN RANTATIE,25498292,6676173,2.0,24,2011,66,7,3,1,3,0,0,520
1596,B11,KYLÄSAARENKATU,25498365,6676228,1.0,1,2011,0,0,0,0,0,0,0,0
1597,B11,KYLÄSAARENKATU,25498365,6676228,1.0,2,2011,0,0,0,0,0,0,0,0
1598,B11,KYLÄSAARENKATU,25498365,6676228,1.0,3,2011,0,0,0,0,0,0,0,0
1599,B11,KYLÄSAARENKATU,25498365,6676228,1.0,4,2011,0,0,0,0,0,0,0,0
1600,B11,KYLÄSAARENKATU,25498365,6676228,1.0,5,2011,0,0,0,0,0,0,0,0
1601,B11,KYLÄSAARENKATU,25498365,6676228,1.0,6,2011,0,0,0,0,0,0,0,0
1602,B11,KYLÄSAARENKATU,25498365,6676228,1.0,7,2011,0,0,0,0,0,0,0,0
1606,B11,KYLÄSAARENKATU,25498365,6676228,1.0,8,2011,0,0,0,0,0,0,0,0
1610,B11,KYLÄSAARENKATU,25498365,6676228,1.0,9,2011,0,0,0,0,0,0,0,0
1614,B11,KYLÄSAARENKATU,25498365,6676228,1.0,10,2011,0,0,0,0,0,0,0,0
1615,B11,KYLÄSAARENKATU,25498365,6676228,1.0,11,2011,0,0,0,0,0,0,0,0
1616,B11,KYLÄSAARENKATU,25498365,6676228,1.0,12,2011,0,0,0,0,0,0,0,0
1617,B11,KYLÄSAARENKATU,25498365,6676228,1.0,13,2011,0,0,0,0,0,0,0,0
1618,B11,KYLÄSAARENKATU,25498365,6676228,1.0,14,2011,0,0,0,0,0,0,0,0
