,piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
103,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,11,2011,1091,178,30,6,63,22,0,8706
104,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,12,2011,1147,149,35,14,54,9,0,8831
105,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,13,2011,1209,121,42,24,70,9,0,8747
106,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,14,2011,1074,106,41,25,65,15,0,7898
107,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,15,2011,1055,129,45,22,84,15,0,8212
108,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16,2011,308,35,10,8,25,7,0,10017
112,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17,2011,408,24,8,5,32,3,0,11372
116,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18,2011,383,18,4,10,31,7,0,11118
120,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,19,2011,1223,62,17,17,93,44,0,9235
121,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,20,2011,1061,58,5,28,32,8,0,6319
122,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,21,2011,899,42,9,15,48,8,0,5267
123,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,22,2011,541,25,5,9,29,2,0,3707
124,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,23,2011,321,16,3,6,18,1,0,2024
125,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,24,2011,233,11,3,4,13,1,0,1309
126,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,1,2011,158,8,2,3,8,0,0,1199
127,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,2,2011,100,5,1,2,6,0,0,643
128,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,3,2011,54,3,1,1,3,0,0,405
129,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,4,2011,47,2,1,1,2,0,0,307
130,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,5,2011,37,2,0,1,2,0,0,294
131,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,6,2011,83,4,1,1,5,0,0,569
132,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,7,2011,40,3,3,1,1,0,0,2821
136,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,8,2011,171,16,1,15,13,2,0,7509
140,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,9,2011,362,21,16,9,29,5,0,10958
144,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,10,2011,1132,124,41,19,106,17,0,8558
145,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,11,2011,953,178,37,23,73,9,0,7922
146,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,12,2011,1149,182,54,6,60,8,0,8508
147,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,13,2011,1187,162,41,12,53,8,0,9299
148,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,14,2011,1274,175,53,51,61,11,0,9717
149,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,15,2011,1519,202,54,10,75,15,0,11560
150,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,16,2011,497,42,14,1,20,9,0,17092
154,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,17,2011,704,43,1,2,32,6,0,18805
158,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,18,2011,686,24,6,6,29,11,0,16692
162,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,19,2011,1824,62,16,3,84,28,0,12835
163,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,20,2011,1374,68,5,37,36,0,0,9496
164,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,21,2011,1307,60,11,23,67,0,0,8331
165,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,22,2011,1041,47,9,18,54,0,0,6899
166,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,23,2011,615,28,5,11,31,0,0,4342
167,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,24,2011,451,21,4,9,24,0,0,2307
168,A03,MERIKANNONTIE,25495193,6673910,1.0,1,2011,8,0,0,0,0,0,0,22
169,A03,MERIKANNONTIE,25495193,6673910,1.0,2,2011,4,0,0,0,0,0,0,10
170,A03,MERIKANNONTIE,25495193,6673910,1.0,3,2011,2,0,0,0,0,0,0,9
171,A03,MERIKANNONTIE,25495193,6673910,1.0,4,2011,2,0,0,0,0,0,0,10
172,A03,MERIKANNONTIE,25495193,6673910,1.0,5,2011,3,0,0,0,0,0,0,8
173,A03,MERIKANNONTIE,25495193,6673910,1.0,6,2011,8,0,0,0,0,0,0,41
174,A03,MERIKANNONTIE,25495193,6673910,1.0,7,2011,4,0,0,0,0,0,0,419
178,A03,MERIKANNONTIE,25495193,6673910,1.0,8,2011,21,1,0,0,0,0,0,941
182,A03,MERIKANNONTIE,25495193,6673910,1.0,9,2011,78,2,1,0,0,0,0,1833
186,A03,MERIKANNONTIE,25495193,6673910,1.0,10,2011,169,16,2,0,0,0,0,1089
187,A03,MERIKANNONTIE,25495193,6673910,1.0,11,2011,97,11,5,0,0,1,0,638
188,A03,MERIKANNONTIE,25495193,6673910,1.0,12,2011,107,15,2,0,0,0,0,789
189,A03,MERIKANNONTIE,25495193,6673910,1.0,13,2011,100,12,1,0,1,0,0,733
190,A03,MERIKANNONTIE,25495193,6673910,1.0,14,2011,117,10,3,0,1,5,0,748
191,A03,MERIKANNONTIE,25495193,6673910,1.0,15,2011,105,16,3,0,0,0,0,759
192,A03,MERIKANNONTIE,25495193,6673910,1.0,16,2011,23,2,1,0,0,0,0,949
196,A03,MERIKANNONTIE,25495193,6673910,1.0,17,2011,60,1,0,0,0,0,0,1133
200,A03,MERIKANNONTIE,25495193,6673910,1.0,18,2011,41,1,1,0,0,0,0,990
204,A03,MERIKANNONTIE,25495193,6673910,1.0,19,2011,125,3,0,0,0,0,0,786
205,A03,MERIKANNONTIE,25495193,6673910,1.0,20,2011,87,4,1,0,0,1,0,554
206,A03,MERIKANNONTIE,25495193,6673910,1.0,21,2011,77,3,1,0,0,0,0,405
207,A03,MERIKANNONTIE,25495193,6673910,1.0,22,2011,28,1,0,0,0,0,0,255
208,A03,MERIKANNONTIE,25495193,6673910,1.0,23,2011,19,1,0,0,0,0,0,121
209,A03,MERIKANNONTIE,25495193,6673910,1.0,24,2011,6,0,0,0,0,0,0,71
210,A03,MERIKANNONTIE,25495193,6673910,2.0,1,2011,1,0,0,0,0,0,0,17
211,A03,MERIKANNONTIE,25495193,6673910,2.0,2,2011,1,0,0,0,0,0,0,11
212,A03,MERIKANNONTIE,25495193,6673910,2.0,3,2011,1,0,0,0,0,0,0,6
213,A03,MERIKANNONTIE,25495193,6673910,2.0,4,2011,1,0,0,0,0,0,0,10
214,A03,MERIKANNONTIE,25495193,6673910,2.0,5,2011,1,0,0,0,0,0,0,6
215,A03,MERIKANNONTIE,25495193,6673910,2.0,6,2011,2,0,0,0,0,0,0,14
216,A03,MERIKANNONTIE,25495193,6673910,2.0,7,2011,1,1,0,0,0,0,0,137
220,A03,MERIKANNONTIE,25495193,6673910,2.0,8,2011,2,0,0,0,0,0,0,374
224,A03,MERIKANNONTIE,25495193,6673910,2.0,9,2011,30,0,0,0,0,0,0,533
228,A03,MERIKANNONTIE,25495193,6673910,2.0,10,2011,50,8,2,0,0,0,0,437
229,A03,MERIKANNONTIE,25495193,6673910,2.0,11,2011,49,7,1,0,0,0,0,397
230,A03,MERIKANNONTIE,25495193,6673910,2.0,12,2011,59,13,3,0,1,0,0,436
231,A03,MERIKANNONTIE,25495193,6673910,2.0,13,2011,79,20,4,0,0,0,0,508
232,A03,MERIKANNONTIE,25495193,6673910,2.0,14,2011,69,16,0,0,0,0,0,471
233,A03,MERIKANNONTIE,25495193,6673910,2.0,15,2011,98,8,1,0,0,1,0,534
234,A03,MERIKANNONTIE,25495193,6673910,2.0,16,2011,27,1,0,0,0,0,0,895
238,A03,MERIKANNONTIE,25495193,6673910,2.0,17,2011,39,3,0,0,1,0,0,993
242,A03,MERIKANNONTIE,25495193,6673910,2.0,18,2011,23,3,0,0,0,0,0,709
246,A03,MERIKANNONTIE,25495193,6673910,2.0,19,2011,102,5,3,0,0,0,0,618
247,A03,MERIKANNONTIE,25495193,6673910,2.0,20,2011,78,3,0,0,0,0,0,475
248,A03,MERIKANNONTIE,25495193,6673910,2.0,21,2011,49,0,0,0,1,0,0,350
249,A03,MERIKANNONTIE,25495193,6673910,2.0,22,2011,21,2,0,0,1,0,0,220
250,A03,MERIKANNONTIE,25495193,6673910,2.0,23,2011,12,0,0,0,0,0,0,93
251,A03,MERIKANNONTIE,25495193,6673910,2.0,24,2011,4,0,0,0,0,0,0,70
252,A04,MECHELININKATU,25495441,6673716,1.0,1,2011,41,4,0,0,5,0,0,360
253,A04,MECHELININKATU,25495441,6673716,1.0,2,2011,25,7,1,0,3,0,0,203
254,A04,MECHELININKATU,25495441,6673716,1.0,3,2011,30,2,1,0,0,0,0,173
255,A04,MECHELININKATU,25495441,6673716,1.0,4,2011,20,2,1,0,0,0,0,142
256,A04,MECHELININKATU,25495441,6673716,1.0,5,2011,38,4,3,0,0,0,0,229
257,A04,MECHELININKATU,25495441,6673716,1.0,6,2011,105,5,5,0,6,0,0,658
258,A04,MECHELININKATU,25495441,6673716,1.0,7,2011,73,3,2,0,1,0,0,2651
262,A04,MECHELININKATU,25495441,6673716,1.0,8,2011,126,23,7,1,2,0,0,4240
266,A04,MECHELININKATU,25495441,6673716,1.0,9,2011,195,28,6,0,3,2,0,5706
270,A04,MECHELININKATU,25495441,6673716,1.0,10,2011,682,133,26,0,5,2,0,5003
271,A04,MECHELININKATU,25495441,6673716,1.0,11,2011,552,110,24,2,6,1,0,3766
272,A04,MECHELININKATU,25495441,6673716,1.0,12,2011,573,93,32,2,5,1,0,3884
273,A04,MECHELININKATU,25495441,6673716,1.0,13,2011,572,109,26,6,9,0,0,3992
274,A04,MECHELININKATU,25495441,6673716,1.0,14,2011,531,80,29,2,6,1,0,3923
275,A04,MECHELININKATU,25495441,6673716,1.0,15,2011,557,92,31,0,6,1,0,3973
276,A04,MECHELININKATU,25495441,6673716,1.0,16,2011,158,18,5,2,1,1,0,4476
280,A04,MECHELININKATU,25495441,6673716,1.0,17,2011,202,19,2,0,2,1,0,4135
284,A04,MECHELININKATU,25495441,6673716,1.0,18,2011,166,9,4,1,2,1,0,4149
288,A04,MECHELININKATU,25495441,6673716,1.0,19,2011,565,38,9,0,4,1,0,3885
289,A04,MECHELININKATU,25495441,6673716,1.0,20,2011,483,13,7,0,3,7,0,2869
290,A04,MECHELININKATU,25495441,6673716,1.0,21,2011,478,3,6,0,2,6,0,2525
291,A04,MECHELININKATU,25495441,6673716,1.0,22,2011,248,19,1,0,1,5,0,2055
292,A04,MECHELININKATU,25495441,6673716,1.0,23,2011,143,10,1,0,1,3,0,1016
293,A04,MECHELININKATU,25495441,6673716,1.0,24,2011,74,9,1,0,4,1,0,576
294,A04,MECHELININKATU,25495441,6673716,2.0,1,2011,52,3,0,0,7,0,0,513
295,A04,MECHELININKATU,25495441,6673716,2.0,2,2011,44,4,1,0,6,0,0,333
296,A04,MECHELININKATU,25495441,6673716,2.0,3,2011,32,4,2,0,0,0,0,239
297,A04,MECHELININKATU,25495441,6673716,2.0,4,2011,31,2,1,0,1,0,0,226
298,A04,MECHELININKATU,25495441,6673716,2.0,5,2011,31,2,3,0,0,0,0,238
299,A04,MECHELININKATU,25495441,6673716,2.0,6,2011,78,10,7,0,1,0,0,483
300,A04,MECHELININKATU,25495441,6673716,2.0,7,2011,42,5,2,0,0,0,0,1700
304,A04,MECHELININKATU,25495441,6673716,2.0,8,2011,102,20,7,0,1,0,0,3859
308,A04,MECHELININKATU,25495441,6673716,2.0,9,2011,185,14,10,1,0,0,0,4430
312,A04,MECHELININKATU,25495441,6673716,2.0,10,2011,585,89,23,8,10,5,0,3906
313,A04,MECHELININKATU,25495441,6673716,2.0,11,2011,500,114,25,7,3,2,0,3687
314,A04,MECHELININKATU,25495441,6673716,2.0,12,2011,512,127,37,3,6,1,0,3889
315,A04,MECHELININKATU,25495441,6673716,2.0,13,2011,514,93,37,4,3,1,0,4158
316,A04,MECHELININKATU,25495441,6673716,2.0,14,2011,645,89,42,0,1,4,0,4314
317,A04,MECHELININKATU,25495441,6673716,2.0,15,2011,688,121,40,2,7,1,0,4857
318,A04,MECHELININKATU,25495441,6673716,2.0,16,2011,222,35,15,0,2,0,0,6075
322,A04,MECHELININKATU,25495441,6673716,2.0,17,2011,218,30,3,1,0,0,0,5476
326,A04,MECHELININKATU,25495441,6673716,2.0,18,2011,189,11,4,1,6,2,0,5108
330,A04,MECHELININKATU,25495441,6673716,2.0,19,2011,624,48,11,0,7,6,0,4064
331,A04,MECHELININKATU,25495441,6673716,2.0,20,2011,538,38,8,0,6,8,0,3452
332,A04,MECHELININKATU,25495441,6673716,2.0,21,2011,569,36,7,0,1,7,0,3047
333,A04,MECHELININKATU,25495441,6673716,2.0,22,2011,360,26,4,0,2,5,0,2386
334,A04,MECHELININKATU,25495441,6673716,2.0,23,2011,172,10,2,0,3,2,0,1327
335,A04,MECHELININKATU,25495441,6673716,2.0,24,2011,159,9,1,0,8,1,0,941
336,A05,RUNEBERGINKATU,25495686,6673769,1.0,1,2011,87,7,1,0,6,0,3,589
337,A05,RUNEBERGINKATU,25495686,6673769,1.0,2,2011,62,5,1,0,4,0,1,355
338,A05,RUNEBERGINKATU,25495686,6673769,1.0,3,2011,46,3,1,0,2,0,0,290
339,A05,RUNEBERGINKATU,25495686,6673769,1.0,4,2011,37,3,1,0,2,0,0,240
340,A05,RUNEBERGINKATU,25495686,6673769,1.0,5,2011,33,3,1,0,2,0,0,268
341,A05,RUNEBERGINKATU,25495686,6673769,1.0,6,2011,108,8,1,0,6,0,2,731
342,A05,RUNEBERGINKATU,25495686,6673769,1.0,7,2011,42,8,4,0,5,0,4,2685
346,A05,RUNEBERGINKATU,25495686,6673769,1.0,8,2011,108,27,9,1,0,0,0,3896
350,A05,RUNEBERGINKATU,25495686,6673769,1.0,9,2011,169,26,3,0,1,1,0,4677
354,A05,RUNEBERGINKATU,25495686,6673769,1.0,10,2011,643,95,33,1,7,5,0,4294
355,A05,RUNEBERGINKATU,25495686,6673769,1.0,11,2011,543,88,30,2,10,4,0,3438
356,A05,RUNEBERGINKATU,25495686,6673769,1.0,12,2011,521,78,23,1,10,1,0,3500
357,A05,RUNEBERGINKATU,25495686,6673769,1.0,13,2011,509,105,24,2,9,1,0,3817
358,A05,RUNEBERGINKATU,25495686,6673769,1.0,14,2011,500,84,19,0,34,1,11,3648
359,A05,RUNEBERGINKATU,25495686,6673769,1.0,15,2011,548,72,10,0,37,2,13,3668
360,A05,RUNEBERGINKATU,25495686,6673769,1.0,16,2011,153,17,5,0,11,1,4,4212
364,A05,RUNEBERGINKATU,25495686,6673769,1.0,17,2011,158,7,3,0,9,3,4,4266
368,A05,RUNEBERGINKATU,25495686,6673769,1.0,18,2011,191,14,2,0,11,1,3,4245
372,A05,RUNEBERGINKATU,25495686,6673769,1.0,19,2011,590,31,8,0,26,1,11,3884
373,A05,RUNEBERGINKATU,25495686,6673769,1.0,20,2011,438,30,6,1,26,7,12,2975
374,A05,RUNEBERGINKATU,25495686,6673769,1.0,21,2011,453,40,6,0,33,5,9,2918
375,A05,RUNEBERGINKATU,25495686,6673769,1.0,22,2011,327,23,4,0,19,0,9,2337
376,A05,RUNEBERGINKATU,25495686,6673769,1.0,23,2011,218,16,2,0,13,0,8,1381
377,A05,RUNEBERGINKATU,25495686,6673769,1.0,24,2011,156,11,1,0,9,0,7,807
378,A05,RUNEBERGINKATU,25495686,6673769,2.0,1,2011,80,7,1,0,5,0,2,510
379,A05,RUNEBERGINKATU,25495686,6673769,2.0,2,2011,43,3,1,0,3,0,2,424
380,A05,RUNEBERGINKATU,25495686,6673769,2.0,3,2011,32,3,0,0,2,0,0,212
381,A05,RUNEBERGINKATU,25495686,6673769,2.0,4,2011,32,3,0,0,3,0,0,194
382,A05,RUNEBERGINKATU,25495686,6673769,2.0,5,2011,30,3,0,0,2,0,0,242
383,A05,RUNEBERGINKATU,25495686,6673769,2.0,6,2011,91,7,2,0,7,0,2,526
384,A05,RUNEBERGINKATU,25495686,6673769,2.0,7,2011,25,7,1,0,2,0,2,1784
