piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,9.45,2011,139,10,3,1,5,1,0,767
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,10.0,2011,330,63,22,1,21,7,0,2644
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,11.0,2011,313,46,13,10,14,4,0,2399
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,12.0,2011,304,59,15,2,24,0,0,2906
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,13.0,2011,369,75,14,0,16,6,0,2980
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,14.0,2011,367,74,14,1,24,3,0,2882
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,15.0,2011,403,71,19,0,33,7,0,2966
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,16.0,2011,104,10,0,0,8,4,0,803
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,16.15,2011,124,13,3,0,9,5,0,848
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,16.3,2011,136,11,0,0,8,7,0,852
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,16.45,2011,129,12,0,0,7,6,0,859
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,17.0,2011,143,10,2,0,11,7,0,1057
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,17.15,2011,154,8,1,0,8,0,0,999
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,17.3,2011,166,7,0,0,9,7,0,1057
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,17.45,2011,167,7,1,0,8,3,0,1072
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,18.0,2011,155,9,0,0,9,3,0,1081
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,18.15,2011,173,4,1,0,11,4,0,1071
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,18.3,2011,146,2,0,0,6,6,0,985
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,18.45,2011,146,2,0,0,6,6,0,916
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,19.0,2011,466,23,1,0,27,18,0,3349
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,20.0,2011,437,30,6,1,26,5,0,3004
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,21.0,2011,399,31,6,0,24,0,0,2534
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,22.0,2011,374,29,5,0,23,0,0,1954
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,23.0,2011,215,18,3,0,13,0,0,1236
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,24.0,2011,167,13,2,0,10,0,0,708
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,1.0,2011,116,6,1,2,7,0,0,690
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,2.0,2011,74,3,1,2,4,0,0,414
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,3.0,2011,48,2,0,1,3,0,0,294
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,4.0,2011,42,2,1,1,2,0,0,233
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,5.0,2011,54,3,0,1,3,0,0,338
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,6.0,2011,194,9,1,4,10,0,0,1531
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,7.0,2011,71,22,6,4,13,0,0,945
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,7.15,2011,128,45,10,4,28,0,0,1664
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,7.3,2011,238,131,15,11,25,3,0,2707
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,7.45,2011,409,81,11,8,29,1,0,3030
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,8.0,2011,429,50,15,3,27,8,0,2922
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,8.15,2011,527,36,7,6,26,3,0,3713
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,8.3,2011,716,39,10,1,36,5,0,4816
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,8.45,2011,834,42,6,6,30,14,0,5225
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,9.0,2011,901,24,5,4,26,10,0,5149
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,9.15,2011,852,39,8,1,35,3,0,5301
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,9.3,2011,830,30,8,3,33,9,0,4892
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,9.45,2011,711,35,3,4,34,7,0,4697
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,10.0,2011,1928,168,37,8,97,22,0,14030
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,11.0,2011,1091,178,30,6,63,22,0,8706
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,12.0,2011,1147,149,35,14,54,9,0,8831
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,13.0,2011,1209,121,42,24,70,9,0,8747
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,14.0,2011,1074,106,41,25,65,15,0,7898
