Onnett_id,Vuosi,Kk,Kuolleet,Loukkaant,Vakavuusko,Tunti,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Katuosoite,accident-index
6626243,2011,1,0,0,0,10,83,1,1,80,47251.0,2649.0,E,KEHÄ 3,57
6900536,2011,6,0,0,0,15,3,3,2,100,47251.0,2649.0,E,LAHDENVÄYLÄ,58
6615437,2011,3,0,1,2,16,83,1,1,100,16183.0,1146.0,E,PORVOONVÄYLÄ,59
6654540,2011,3,0,0,0,16,82,1,1,100,16183.0,1146.0,E,PORVOONVÄYLÄ,60
6683030,2011,12,0,0,0,18,9,13,2,100,16183.0,1146.0,E,PORVOONVÄYLÄ,61
6763458,2011,9,0,0,0,9,9,13,2,100,16183.0,1146.0,E,PORVOONVÄYLÄ,62
6880704,2011,8,0,0,0,21,99,13,1,120,16183.0,1146.0,E,PORVOONVÄYLÄ,63
6713063,2011,11,0,0,0,20,81,1,1,100,16183.0,1146.0,E,PORVOONVÄYLÄ,64
6763241,2011,10,0,0,0,2,90,10,2,100,16183.0,1146.0,E,PORVOONVÄYLÄ,65
6547903,2011,1,0,0,0,12,89,1,1,100,28313.0,2430.0,K,PORVOONVÄYLÄ,66
6886099,2011,7,0,0,0,6,93,1,1,120,28313.0,2430.0,E,PORVOONVÄYLÄ,67
6900425,2011,7,0,1,2,23,85,1,1,120,28313.0,2430.0,E,PORVOONVÄYLÄ,68
6839681,2011,4,0,1,2,18,83,1,1,120,28313.0,2430.0,E,PORVOONVÄYLÄ,69
6763258,2011,10,0,0,0,6,89,1,1,120,28313.0,2430.0,E,PORVOONVÄYLÄ,70
6694026,2011,12,0,0,0,16,94,13,7,100,28313.0,2430.0,E,PORVOONVÄYLÄ,71
6763187,2011,10,0,0,0,20,81,1,1,120,28313.0,2430.0,E,PORVOONVÄYLÄ,72
6886485,2011,6,0,0,0,5,90,11,2,120,28313.0,2430.0,E,PORVOONVÄYLÄ,73
6484785,2011,2,0,1,2,21,8,6,2,50,39124.0,2032.0,E,TUUSULANVÄYLÄ,74
6682753,2011,12,0,0,0,17,4,3,2,60,36652.0,1635.0,E,TUUSULANVÄYLÄ,75
6548162,2011,12,0,0,0,21,80,1,1,80,36652.0,1635.0,E,TUUSULANVÄYLÄ,76
6683397,2011,3,0,0,0,9,6,6,5,80,36652.0,1635.0,E,TUUSULANVÄYLÄ,77
6583086,2011,1,0,0,0,22,4,3,2,80,36652.0,1635.0,E,TUUSULANVÄYLÄ,78
6654646,2011,2,0,0,0,16,3,3,3,80,62472.0,3811.0,E,TUUSULANVÄYLÄ,79
6839617,2011,6,0,0,0,14,80,1,1,80,62472.0,3811.0,E,KEHÄ 1,80
6763097,2011,12,0,0,0,18,6,6,2,80,62472.0,3811.0,E,KEHÄ 1,81
6655048,2011,11,0,0,0,5,83,1,1,80,62472.0,3811.0,E,TUUSULANVÄYLÄ,82
6683175,2011,3,0,1,2,16,6,6,5,100,62472.0,3811.0,E,TUUSULANVÄYLÄ,83
6791745,2011,11,0,0,0,17,8,6,4,80,62472.0,3811.0,E,TUUSULANVÄYLÄ,84
6624748,2011,1,0,0,0,4,0,3,2,100,62472.0,3811.0,E,TUUSULANVÄYLÄ,85
6713090,2011,12,0,0,0,13,3,3,2,100,62472.0,3811.0,E,TUUSULANVÄYLÄ,86
6892866,2011,7,0,0,0,20,3,3,2,80,33559.0,3673.0,E,KEHÄ 3,87
6615419,2011,3,0,0,0,9,2,3,2,80,33559.0,3673.0,E,KEHÄ 3,88
6625094,2011,4,0,0,0,22,6,6,2,40,40000.0,,E,LÄNSIVÄYLÄ,89
6720154,2011,4,0,0,0,15,13,2,2,50,40000.0,,E,LÄNSIVÄYLÄ,90
