Onnett_id,Tienpit,Tie,Aosa,Aet,Ajr,Vuosi,Kk,Päivä,Kuolleet,Loukkaant,Vakavuusko,Tunti,Vkpv,Ontyyppi,Onluokka,Osallkm,Nopraj,Taajmerk,Pinta,Valoisuus,Sää,Onnpaikka,Liikvalot,Liittyvtie,Noplaji,Nopsuunvas,Nopsuunoik,Taajama,Mo_mol,Toimluokka,Kvl,Raskaskvl,Tienlev,X,Y,Tietyö,Päällyste,Lämpötila,Risteys,Katuosoite,Tietyyppi,Lisäkaisty,Solmutyyp,Liitluok,Lähliittie,Suuntlkm,Toimenpide,Valaisomis,Poikkileik,Päällyslev,Päällystlk
6903839,1,3.0,101.0,5732.0,1.0,2011,8,17.08.2011,0,0,0,17,Keskiviikko,7,6,2,80,0,1,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,216.0,383607.0,6679712.0,E,1,23.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,-1,-1,-1,,,3,1,2,95.0,10
6791805,1,3.0,101.0,5745.0,2.0,2011,9,29.09.2011,0,0,0,8,Torstai,4,3,3,80,0,1,1,2,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383592.0,6679710.0,E,1,13.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,3,-1,-1,,,3,1,2,120.0,10
6863194,1,3.0,101.0,5807.0,1.0,2011,8,09.08.2011,0,0,0,12,Tiistai,9,13,2,80,0,1,1,2,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,216.0,383578.0,6679781.0,E,1,18.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,-1,-1,-1,,,3,1,2,95.0,10
6663343,1,3.0,101.0,5940.0,1.0,2011,3,30.03.2011,0,1,2,12,Keskiviikko,4,3,2,80,0,2,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383525.0,6679904.0,E,1,3.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,3,-1,-1,,,3,1,2,120.0,10
6624672,1,3.0,101.0,6073.0,2.0,2011,3,15.03.2011,0,0,0,15,Tiistai,2,3,2,80,0,2,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383463.0,6680014.0,E,1,1.0,0,HÄMEENLINNANVÄYLÄ N. 500 M KEHÄ 1:LLE,-1,3,-1,-1,,,3,1,2,120.0,10
6892712,1,3.0,101.0,6177.0,2.0,2011,7,07.07.2011,0,0,0,7,Torstai,7,6,2,80,0,1,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383422.0,6680110.0,E,1,21.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,3,-1,-1,,,3,1,2,120.0,10
6817141,1,3.0,101.0,6200.0,2.0,2011,9,16.09.2011,0,0,0,15,Perjantai,9,13,2,80,0,1,1,2,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383413.0,6680131.0,E,1,15.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,3,-1,-1,,,3,1,2,120.0,10
6548127,1,3.0,101.0,6709.0,2.0,2011,1,30.01.2011,0,0,0,18,Sunnuntai,4,3,2,80,0,2,3,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,251.0,383213.0,6680603.0,E,1,-3.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,3,-1,-1,,,3,1,2,120.0,10
6900520,1,3.0,101.0,6866.0,1.0,2011,8,10.08.2011,0,0,0,17,Keskiviikko,3,3,2,80,0,1,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,383162.0,6680759.0,E,1,22.0,2,HÄMEENLINNAN VÄYLÄ X KANNELTIE          ,-1,-1,-1,-1,,,3,1,2,95.0,10
6839565,1,3.0,101.0,7408.0,2.0,2011,7,30.07.2011,0,0,0,21,Lauantai,90,12,2,80,0,1,1,2,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,382938.0,6681250.0,E,1,16.0,0,HÄMEENLINNAN VÄYLÄ                      ,-1,-1,-1,-1,,,3,1,2,90.0,10
6737073,1,3.0,101.0,8053.0,2.0,2011,10,11.10.2011,0,0,0,6,Tiistai,2,3,2,80,0,2,4,2,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,382683.0,6681848.0,E,1,8.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,-1,-1,-1,,,3,1,2,90.0,10
6542355,1,3.0,101.0,8194.0,2.0,2011,1,14.01.2011,0,0,0,12,Perjantai,99,13,2,80,0,6,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,382629.0,6681980.0,E,1,-4.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,-1,-1,-1,,,3,1,2,90.0,10
